listing_id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,city,latitude,longitude,property_type,room_type,accommodates,bedrooms,amenities,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable
7194007,"3 Bd, 3 Bath, 5 mins walk to BTS",37668236,42191,Bangkok,,,,f,1,t,t,Vadhana,Bangkok,13.72551,100.57951,Entire apartment,Entire place,4,3,"Air conditioning, Iron, Hair dryer, Hangers, Luggage dropoff allowed, Hot water, TV, Smoke alarm, Long term stays allowed, Gym, Wifi, Free parking on premises, Building staff, Shampoo, Essentials, Dryer, Pool, Dedicated workspace, Elevator, Kitchen, Washer",3500,1,1125,96,10,9,10,10,10,9,f
32656186,Private 3BR Apartment in City Center with Pool,10737353,41628,"Bangkok, Thailand",,,,f,1,t,f,Vadhana,Bangkok,13.73233,100.57462,Entire apartment,Entire place,6,3,"Air conditioning, Refrigerator, Iron, Dishes and silverware, Hair dryer, Hangers, Bed linens, Hot water, Long term stays allowed, Wifi, Stove, Free parking on premises, Building staff, Shampoo, Essentials, First aid kit, Pool, Dedicated workspace, Microwave, Private entrance, Kitchen, Breakfast",6000,2,1125,100,10,10,10,10,10,10,f
14561611,Designer's luxurious 2BR Apartment Lumpini,90154944,42598,Singapore,,,,f,1,t,t,Sathon,Bangkok,13.72261,100.5515,Entire apartment,Entire place,5,2,"Cable TV, Air conditioning, Dryer, Pool, Dedicated workspace, Elevator, Wifi, Free parking on premises, Iron, TV, Hot tub, Smoke alarm, Long term stays allowed, Shampoo, Hair dryer, Gym, Washer, Hangers, Carbon monoxide alarm, Essentials",20000,30,1125,86,9,8,9,8,9,9,t
15248030,SupalaiPark130,96245024,42635,"Samut Prakan, Thailand",,,,f,1,t,t,Chatu Chak,Bangkok,13.82212,100.56529,Entire apartment,Entire place,5,2,"Air conditioning, Dryer, Pool, Shampoo, Dedicated workspace, Elevator, Free parking on premises, Smoke alarm, Building staff, Kitchen, Washer, Essentials, Gym, Long term stays allowed, Hangers, Wifi",1518,5,1125,93,9,9,9,8,9,9,t
22836288,Apartment for Family w Kids (2B/2bath/NearAirport),166544326,43108,Thailand,,,,f,1,t,f,Lat Krabang,Bangkok,13.72328,100.71455,Entire apartment,Entire place,6,2,"Air conditioning, Refrigerator, High chair, Hair dryer, Dishes and silverware, Hangers, Ethernet connection, Bed linens, Hot water, TV, Smoke alarm, Long term stays allowed, Gym, Childrenâs books and toys, Wifi, Crib, Shampoo, Essentials, Cable TV, Pool, Elevator, Microwave, Host greets you, Kitchen, Washer",1350,30,1125,88,9,9,9,9,8,9,f
24325528,The Bangkok Luxury Room,183523878,43200,"Bangkok, Thailand",,,,f,1,t,f,Vadhana,Bangkok,13.73006,100.57275,Entire apartment,Entire place,6,2,"Air conditioning, Patio or balcony, Refrigerator, Dishes and silverware, Hair dryer, Hangers, Bed linens, TV, Smoke alarm, Long term stays allowed, Gym, Wifi, Stove, Free parking on premises, Shampoo, Essentials, Heating, Cable TV, Pool, Dedicated workspace, Elevator, Microwave, Hot tub, Kitchen, Washer, Breakfast",5900,2,1125,90,8,8,7,9,9,9,f
33889965,Near BTS Sukumvit64.Ready to move in.Best price.,255931292,43570,Thailand,,,,f,1,t,f,Phra Khanong,Bangkok,13.68566,100.60305,Entire apartment,Entire place,3,2,"Air conditioning, Bed linens, Cleaning before checkout, Private entrance, Kitchen, Dishes and silverware, Shampoo, Microwave, Pool, TV, Long term stays allowed, Wifi, Hangers, Washer, Elevator, First aid kit, Smoke alarm, Gym, Essentials, Dryer, Hair dryer, Iron, Hot water, Refrigerator",800,24,1125,100,8,10,10,8,10,10,f
39621075,42 Sq.m. room near Asiatique (Max 3 ppl) (Monthly),59021281,42416,"Bangkok, Thailand",,,,f,1,t,t,Bang Kho laen,Bangkok,13.70227,100.50598,Entire apartment,Entire place,3,2,"Air conditioning, Patio or balcony, Refrigerator, Oven, Shower gel, Dishes and silverware, Hair dryer, Hangers, Cooking basics, Bed linens, Hot water, TV, Garden or backyard, Smoke alarm, Long term stays allowed, Gym, Wifi, Extra pillows and blankets, Stove, Free parking on premises, Coffee maker, Shampoo, Essentials, First aid kit, Cable TV, Dryer, Pool, Elevator, Microwave, Kitchen, Washer",839,30,1125,95,9,9,9,9,9,9,f
1921362,Luxury Condo in the Heart of BKK,1823870,40967,Bangkok,,,,f,1,t,t,Sathon,Bangkok,13.72411,100.54095,Entire apartment,Entire place,2,2,"Cable TV, Air conditioning, Dryer, Pool, Shampoo, Elevator, TV, Smoke alarm, Long term stays allowed, Kitchen, Washer, Gym",4503,30,1125,91,10,10,9,10,10,9,f
4327609,NEW 2 bedrm condo/next to BTS OnNut,22471584,41925,"Bangkok, Thailand",,,,f,1,t,t,Vadhana,Bangkok,13.70698,100.6015,Entire apartment,Entire place,3,2,"Air conditioning, Refrigerator, Iron, Hair dryer, Dishes and silverware, Hangers, Ethernet connection, Bed linens, Hot water, TV, Smoke alarm, Long term stays allowed, Gym, Pocket wifi, Wifi, Shampoo, Essentials, Cable TV, Pool, Dedicated workspace, Elevator, Microwave, Host greets you, Kitchen, Washer",1300,30,1125,98,10,10,10,10,9,10,f
6219340,Awesome 2BR Condominium in Bangkok.,31258154,42109,Thailand,,,,f,1,t,f,Vadhana,Bangkok,13.74122,100.58287,Entire apartment,Entire place,3,2,"Air conditioning, Dryer, Pool, Shampoo, Elevator, Free parking on premises, TV, Long term stays allowed, Kitchen, Washer, Gym, Wifi",1500,3,1125,91,10,10,10,10,9,10,t
10528084,2 BR APT in the hip area of Bkk,4282827,41242,"Bangkok, Thailand",,,,f,1,t,t,Huai Khwang,Bangkok,13.74389,100.58565,Entire apartment,Entire place,3,2,"Air conditioning, Dryer, Pool, Shampoo, Dedicated workspace, Elevator, Iron, TV, Smoke alarm, Long term stays allowed, Kitchen, Washer, Hair dryer, Gym, Wifi, Essentials",2050,30,1125,97,10,10,10,10,9,10,f
13072422,"2BR,BTS Rachathewi,center of city",72467826,42507,"Bangkok, Thailand",,,,f,1,t,f,Ratchathewi,Bangkok,13.75053,100.53096,Entire apartment,Entire place,5,2,"Air conditioning, Pool, Elevator, Free parking on premises, TV, Hot tub, Smoke alarm, Long term stays allowed, Kitchen, Washer, Gym, Wifi",3602,30,1125,98,10,10,10,10,10,10,f
21689113,hotspot around w/ upmarket&restaurants 90sqm 2br,157896512,43047,"Bangkok, Thailand",,,,f,1,t,t,Vadhana,Bangkok,13.73293,100.58292,Entire apartment,Entire place,5,2,"Air conditioning, Refrigerator, Iron, Hair dryer, Dishes and silverware, Hangers, Luggage dropoff allowed, Hot water, TV, Smoke alarm, Long term stays allowed, Gym, Pocket wifi, Extra pillows and blankets, Stove, Free parking on premises, Shampoo, Essentials, Smart lock, Cable TV, Dryer, Pool, Dedicated workspace, Microwave, Kitchen, Washer",1769,30,1125,96,10,9,10,10,10,10,f
26306768,Wonderful apartment in center of town,89226350,42592,Thailand,,,,f,1,t,t,Ratchathewi,Bangkok,13.74908,100.55155,Entire apartment,Entire place,8,2,"Air conditioning, Dedicated workspace, Elevator, Free parking on premises, TV, Smoke alarm, Long term stays allowed, Kitchen, Washer, Hair dryer, Hangers, Essentials",2500,3,1125,100,10,8,10,10,10,10,t
34386922,A classy 2 bedrooms condo in Japenese town,259595075,43588,TH,,,,f,1,t,f,Vadhana,Bangkok,13.74012,100.57224,Entire apartment,Entire place,3,2,"Air conditioning, Private entrance, Heating, Kitchen, Shampoo, Pool, TV, Long term stays allowed, Luggage dropoff allowed, Wifi, Carbon monoxide alarm, Hangers, Free parking on premises, Washer, Elevator, Indoor fireplace, Fire extinguisher, Smoke alarm, First aid kit, Gym, Essentials, Dedicated workspace, Hair dryer, Iron",2200,30,1125,100,10,10,10,10,10,10,t
9580135,River view Longterm rent (monthly),49384786,42327,"Bangkok, Thailand",,,,f,1,t,f,Thon buri,Bangkok,13.70628,100.49759,Entire apartment,Entire place,4,2,"Air conditioning, Dedicated workspace, Elevator, Free parking on premises, Fire extinguisher, TV, Hot tub, Smoke alarm, Long term stays allowed, Kitchen, Shampoo, Heating, Hangers, Wifi",2500,30,1125,80,10,10,8,8,4,8,t
10185958,Great apartment in great location,35172555,42161,Thailand,,,,f,1,t,f,Yan na wa,Bangkok,13.70165,100.53691,Entire apartment,Entire place,4,2,"Air conditioning, Dryer, Pool, Shampoo, Elevator, Free parking on premises, TV, Long term stays allowed, Kitchen, Washer, Essentials, Gym",2548,1,1125,84,10,8,10,9,10,9,t
16560418,Spacious 180Sqm City center on the Chaopraya River,121108804,42810,French Polynesia,,,,f,1,t,t,Khlong San,Bangkok,13.71709,100.50716,Entire apartment,Entire place,4,2,"Air conditioning, Patio or balcony, Refrigerator, Iron, Oven, Dishes and silverware, Hair dryer, Hangers, Room-darkening shades, Cooking basics, TV, Garden or backyard, Smoke alarm, Long term stays allowed, Gym, Carbon monoxide alarm, Wifi, Stove, Free parking on premises, Fire extinguisher, Single level home, Shampoo, Essentials, First aid kit, Pool, Dedicated workspace, Elevator, Private entrance, Kitchen, Washer",2972,300,1125,90,10,8,10,9,9,9,t
3116621,Luxury Apartment in Bangkok Center,15837125,41781,"Bangkok, Thailand",,,,f,1,t,t,Bang Rak,Bangkok,13.72799,100.53004,Entire apartment,Entire place,4,2,"Cable TV, Air conditioning, Dryer, Pool, Elevator, Free parking on premises, TV, Smoke alarm, Long term stays allowed, Kitchen, Washer, Essentials, Gym, Wifi",1500,180,1125,94,10,9,10,9,10,9,f
1019241,Chic two bedroom for Monthly rental,3323622,41141,Shanghai&Bangkok,,,,f,1,t,t,Bang Rak,Bangkok,13.72682,100.52634,Entire apartment,Entire place,4,2,"Cable TV, Air conditioning, Dryer, Pool, Shampoo, Elevator, Free parking on premises, TV, Smoke alarm, Long term stays allowed, Kitchen, Washer, Essentials, Gym, Indoor fireplace, Wifi",2342,30,1125,94,9,9,9,10,9,9,t
15945641,"Spacious, Elegant & Clean / Big Pool / Great Area",103507912,42687,"Bangkok, Thailand",,,,f,1,t,t,Bang Rak,Bangkok,13.72567,100.52115,Entire apartment,Entire place,4,2,"Air conditioning, Dryer, Pool, Dedicated workspace, Elevator, Free parking on premises, TV, Smoke alarm, Long term stays allowed, Kitchen, Washer, Hair dryer, Gym, Hangers, Carbon monoxide alarm, Essentials",2150,2,1125,100,10,10,8,10,10,10,f
34051729,Avatar 2 Bedroom Gym&Pool 200m by walk to BTS Nana,257127317,43576,"Bangkok, Thailand",,,,f,1,t,f,Vadhana,Bangkok,13.74529,100.55601,Entire apartment,Entire place,4,2,"Air conditioning, Iron, Hair dryer, TV, Long term stays allowed, Gym, Indoor fireplace, Carbon monoxide alarm, Wifi, Free parking on premises, Fire extinguisher, Building staff, Shampoo, Essentials, Pool, Dedicated workspace, Elevator, Hot tub, Private entrance, Kitchen, Washer",4222,1,1125,80,8,10,8,10,8,6,f
30777670,Luxury & cozy 2BR suites Downtown BKK walk to BTS,41803346,42234,"Bangkok, Bangkok, Thailand",,,,f,1,t,t,Bang Rak,Bangkok,13.72321,100.53118,Entire apartment,Entire place,4,2,"Air conditioning, Patio or balcony, Refrigerator, Iron, Hair dryer, Dishes and silverware, Hangers, Luggage dropoff allowed, Cooking basics, Hot water, TV, Smoke alarm, Long term stays allowed, Gym, Carbon monoxide alarm, Wifi, Bathtub, Stove, Free parking on premises, Coffee maker, Fire extinguisher, Essentials, Dryer, Pool, Dedicated workspace, Elevator, Microwave, Host greets you, Hot tub, Kitchen, Washer",3000,7,1125,83,9,8,10,10,10,8,f
1765918,2BR apt in a cozy neighborhood,9279712,41554,Bangkok Thailand,,,,f,1,t,f,Phaya Thai,Bangkok,13.77641,100.54219,Entire apartment,Entire place,4,2,"Cable TV, Air conditioning, Pool, Shampoo, Elevator, Free parking on premises, TV, Hot tub, Smoke alarm, Building staff, Kitchen, Washer, Long term stays allowed, Gym, Carbon monoxide alarm, Wifi",2075,30,1125,95,10,9,10,10,9,10,f
21823233,Cozy apartment heart of BANGKOK,159052610,43056,"Bangkok, Thailand",,,,f,1,t,t,Vadhana,Bangkok,13.73048,100.58682,Entire apartment,Entire place,4,2,"Air conditioning, Pool, Dedicated workspace, Elevator, Free parking on premises, Hot water, Host greets you, TV, Long term stays allowed, Kitchen, Shampoo, Hair dryer, Gym, Breakfast, Hangers, First aid kit, Essentials",2307,35,1125,100,10,10,10,10,10,9,t
3285133,Great location near BTS. Comfy!,16603737,41800,"Bangkok, Thailand",,,,f,1,t,t,Phaya Thai,Bangkok,13.77458,100.54197,Entire apartment,Entire place,4,2,"Air conditioning, Iron, Hair dryer, Hangers, TV, Smoke alarm, Long term stays allowed, Gym, Carbon monoxide alarm, Wifi, Free parking on premises, Building staff, Shampoo, Essentials, First aid kit, Cable TV, Pool, Dedicated workspace, Elevator, Private entrance, Kitchen, Washer",1499,30,1125,100,10,10,10,10,10,10,f
8450835,Cozy Condominium in Bangkok,44487739,42265,"Nonthaburi, Nonthaburi, Thailand",,,,f,1,t,f,Huai Khwang,Bangkok,13.74515,100.59157,Entire apartment,Entire place,4,2,"Air conditioning, Pool, Elevator, Free parking on premises, TV, Smoke alarm, Long term stays allowed, Kitchen, Essentials, Gym, Heating, Carbon monoxide alarm",3486,1,1125,100,10,10,10,10,10,10,f
18778696,Full Accommodate and Luxury Stay in BKK,14482007,41748,"Bangkok, Thailand",,,,f,1,t,f,Din Daeng,Bangkok,13.79011,100.57385,Entire apartment,Entire place,4,1,"Air conditioning, Refrigerator, Hangers, Cooking basics, Bed linens, Hot water, TV, Smoke alarm, Long term stays allowed, Gym, Carbon monoxide alarm, Wifi, Extra pillows and blankets, Bathtub, Stove, Single level home, Essentials, Cleaning before checkout, Pool, Dedicated workspace, Elevator, Microwave, Host greets you, Hot tub, Kitchen, Washer",1099,1,1125,100,9,9,9,9,9,9,t
